state_fips,state_name,state_code,county_fips,county_name,has_census_data,has_redfin_data,has_geometry
01,Alabama,AL,01001,Autauga,True,True,True
01,Alabama,AL,01003,Baldwin,True,True,True
01,Alabama,AL,01005,Barbour,True,True,True
01,Alabama,AL,01007,Bibb,True,True,True
01,Alabama,AL,01009,Blount,True,True,True
01,Alabama,AL,01011,Bullock,True,True,True
01,Alabama,AL,01013,Butler,True,True,True
01,Alabama,AL,01015,Calhoun,True,True,True
01,Alabama,AL,01017,Chambers,True,True,True
01,Alabama,AL,01019,Cherokee,True,True,True
01,Alabama,AL,01021,Chilton,True,True,True
01,Alabama,AL,01023,,True,False,True
01,Alabama,AL,01025,Clarke,True,True,True
01,Alabama,AL,01027,Clay,True,True,True
01,Alabama,AL,01029,Cleburne,True,True,True
01,Alabama,AL,01031,Coffee,True,True,True
01,Alabama,AL,01033,Colbert,True,True,True
01,Alabama,AL,01035,Conecuh,True,True,True
01,Alabama,AL,01037,Coosa,True,True,True
01,Alabama,AL,01039,Covington,True,True,True
01,Alabama,AL,01041,Crenshaw,True,True,True
01,Alabama,AL,01043,Cullman,True,True,True
01,Alabama,AL,01045,Dale,True,True,True
01,Alabama,AL,01047,Dallas,True,True,True
01,Alabama,AL,01049,DeKalb,True,True,True
01,Alabama,AL,01051,Elmore,True,True,True
01,Alabama,AL,01053,Escambia,True,True,True
01,Alabama,AL,01055,Etowah,True,True,True
01,Alabama,AL,01057,Fayette,True,True,True
01,Alabama,AL,01059,Franklin,True,True,True
01,Alabama,AL,01061,Geneva,True,True,True
01,Alabama,AL,01063,Greene,True,True,True
01,Alabama,AL,01065,Hale,True,True,True
01,Alabama,AL,01067,Henry,True,True,True
01,Alabama,AL,01069,Houston,True,True,True
01,Alabama,AL,01071,Jackson,True,True,True
01,Alabama,AL,01073,Jefferson,True,True,True
01,Alabama,AL,01075,Lamar,True,True,True
01,Alabama,AL,01077,Lauderdale,True,True,True
01,Alabama,AL,01079,Lawrence,True,True,True
01,Alabama,AL,01081,Lee,True,True,True
01,Alabama,AL,01083,Limestone,True,True,True
01,Alabama,AL,01085,Lowndes,True,True,True
01,Alabama,AL,01087,Macon,True,True,True
01,Alabama,AL,01089,Madison,True,True,True
01,Alabama,AL,01091,Marengo,True,True,True
01,Alabama,AL,01093,Marion,True,True,True
01,Alabama,AL,01095,Marshall,True,True,True
01,Alabama,AL,01097,Mobile,True,True,True
01,Alabama,AL,01099,Monroe,True,True,True
01,Alabama,AL,01101,Montgomery,True,True,True
01,Alabama,AL,01103,Morgan,True,True,True
01,Alabama,AL,01105,,True,False,True
01,Alabama,AL,01107,Pickens,True,True,True
01,Alabama,AL,01109,Pike,True,True,True
01,Alabama,AL,01111,Randolph,True,True,True
01,Alabama,AL,01113,,True,False,True
01,Alabama,AL,01115,St. Clair,True,True,True
01,Alabama,AL,01117,Shelby,True,True,True
01,Alabama,AL,01119,,True,False,True
01,Alabama,AL,01121,Talladega,True,True,True
01,Alabama,AL,01123,Tallapoosa,True,True,True
01,Alabama,AL,01125,Tuscaloosa,True,True,True
01,Alabama,AL,01127,Walker,True,True,True
01,Alabama,AL,01129,,True,False,True
01,Alabama,AL,01131,Wilcox,True,True,True
01,Alabama,AL,01133,Winston,True,True,True
02,Alaska,AK,02013,,True,False,True
02,Alaska,AK,02016,Aleutians West,True,True,True
02,Alaska,AK,02020,Anchorage,True,True,True
02,Alaska,AK,02050,Bethel,True,True,True
02,Alaska,AK,02060,Bristol Bay,True,True,True
02,Alaska,AK,02063,Chugach,True,True,True
02,Alaska,AK,02066,,True,False,True
02,Alaska,AK,02068,,True,False,True
02,Alaska,AK,02070,,True,False,True
02,Alaska,AK,02090,Fairbanks North Star,True,True,True
02,Alaska,AK,02100,Haines,True,True,True
02,Alaska,AK,02105,Hoonah-Angoon,True,True,True
02,Alaska,AK,02110,,True,False,True
02,Alaska,AK,02122,Kenai Peninsula,True,True,True
02,Alaska,AK,02130,Ketchikan Gateway,True,True,True
02,Alaska,AK,02150,Kodiak Island,True,True,True
02,Alaska,AK,02158,,True,False,True
02,Alaska,AK,02164,,True,False,True
02,Alaska,AK,02170,Matanuska-Susitna,True,True,True
02,Alaska,AK,02180,Nome,True,True,True
02,Alaska,AK,02185,,True,False,True
02,Alaska,AK,02188,,True,False,True
02,Alaska,AK,02195,Petersburg,True,True,True
02,Alaska,AK,02198,Prince of Wales-Hyder,True,True,True
02,Alaska,AK,02220,Sitka,True,True,True
02,Alaska,AK,02230,,True,False,True
02,Alaska,AK,02240,Southeast Fairbanks,True,True,True
02,Alaska,AK,02275,,True,False,True
02,Alaska,AK,02282,,True,False,True
02,Alaska,AK,02290,,True,False,True
04,Arizona,AZ,04001,Apache,True,True,True
04,Arizona,AZ,04003,Cochise,True,True,True
04,Arizona,AZ,04005,Coconino,True,True,True
04,Arizona,AZ,04007,Gila,True,True,True
04,Arizona,AZ,04009,Graham,True,True,True
04,Arizona,AZ,04011,,True,False,True
04,Arizona,AZ,04012,La Paz,True,True,True
04,Arizona,AZ,04013,Maricopa,True,True,True
04,Arizona,AZ,04015,Mohave,True,True,True
04,Arizona,AZ,04017,Navajo,True,True,True
04,Arizona,AZ,04019,Pima,True,True,True
04,Arizona,AZ,04021,Pinal,True,True,True
04,Arizona,AZ,04023,Santa Cruz,True,True,True
04,Arizona,AZ,04025,Yavapai,True,True,True
04,Arizona,AZ,04027,Yuma,True,True,True
05,Arkansas,AR,05001,Arkansas,True,True,True
05,Arkansas,AR,05003,Ashley,True,True,True
05,Arkansas,AR,05005,Baxter,True,True,True
05,Arkansas,AR,05007,Benton,True,True,True
05,Arkansas,AR,05009,Boone,True,True,True
05,Arkansas,AR,05011,Bradley,True,True,True
05,Arkansas,AR,05013,,True,False,True
05,Arkansas,AR,05015,Carroll,True,True,True
05,Arkansas,AR,05017,Chicot,True,True,True
05,Arkansas,AR,05019,Clark,True,True,True
05,Arkansas,AR,05021,Clay,True,True,True
05,Arkansas,AR,05023,Cleburne,True,True,True
05,Arkansas,AR,05025,Cleveland,True,True,True
05,Arkansas,AR,05027,Columbia,True,True,True
05,Arkansas,AR,05029,Conway,True,True,True
05,Arkansas,AR,05031,Craighead,True,True,True
05,Arkansas,AR,05033,Crawford,True,True,True
05,Arkansas,AR,05035,Crittenden,True,True,True
05,Arkansas,AR,05037,Cross,True,True,True
05,Arkansas,AR,05039,Dallas,True,True,True
05,Arkansas,AR,05041,Desha,True,True,True
05,Arkansas,AR,05043,Drew,True,True,True
05,Arkansas,AR,05045,Faulkner,True,True,True
05,Arkansas,AR,05047,Franklin,True,True,True
05,Arkansas,AR,05049,Fulton,True,True,True
05,Arkansas,AR,05051,Garland,True,True,True
05,Arkansas,AR,05053,Grant,True,True,True
05,Arkansas,AR,05055,Greene,True,True,True
05,Arkansas,AR,05057,Hempstead,True,True,True
05,Arkansas,AR,05059,Hot Spring,True,True,True
05,Arkansas,AR,05061,Howard,True,True,True
05,Arkansas,AR,05063,Independence,True,True,True
05,Arkansas,AR,05065,Izard,True,True,True
05,Arkansas,AR,05067,Jackson,True,True,True
05,Arkansas,AR,05069,Jefferson,True,True,True
05,Arkansas,AR,05071,Johnson,True,True,True
05,Arkansas,AR,05073,Lafayette,True,True,True
05,Arkansas,AR,05075,Lawrence,True,True,True
05,Arkansas,AR,05077,,True,False,True
05,Arkansas,AR,05079,Lincoln,True,True,True
05,Arkansas,AR,05081,Little River,True,True,True
05,Arkansas,AR,05083,Logan,True,True,True
05,Arkansas,AR,05085,Lonoke,True,True,True
05,Arkansas,AR,05087,Madison,True,True,True
05,Arkansas,AR,05089,Marion,True,True,True
05,Arkansas,AR,05091,Miller,True,True,True
05,Arkansas,AR,05093,Mississippi,True,True,True
05,Arkansas,AR,05095,Monroe,True,True,True
05,Arkansas,AR,05097,Montgomery,True,True,True
05,Arkansas,AR,05099,,True,False,True
05,Arkansas,AR,05101,Newton,True,True,True
05,Arkansas,AR,05103,Ouachita,True,True,True
05,Arkansas,AR,05105,Perry,True,True,True
05,Arkansas,AR,05107,,True,False,True
05,Arkansas,AR,05109,Pike,True,True,True
05,Arkansas,AR,05111,Poinsett,True,True,True
05,Arkansas,AR,05113,Polk,True,True,True
05,Arkansas,AR,05115,Pope,True,True,True
05,Arkansas,AR,05117,Prairie,True,True,True
05,Arkansas,AR,05119,Pulaski,True,True,True
05,Arkansas,AR,05121,Randolph,True,True,True
05,Arkansas,AR,05123,St. Francis,True,True,True
05,Arkansas,AR,05125,Saline,True,True,True
05,Arkansas,AR,05127,Scott,True,True,True
05,Arkansas,AR,05129,Searcy,True,True,True
05,Arkansas,AR,05131,Sebastian,True,True,True
05,Arkansas,AR,05133,Sevier,True,True,True
05,Arkansas,AR,05135,Sharp,True,True,True
05,Arkansas,AR,05137,Stone,True,True,True
05,Arkansas,AR,05139,Union,True,True,True
05,Arkansas,AR,05141,Van Buren,True,True,True
05,Arkansas,AR,05143,Washington,True,True,True
05,Arkansas,AR,05145,White,True,True,True
05,Arkansas,AR,05147,Woodruff,True,True,True
05,Arkansas,AR,05149,Yell,True,True,True
06,California,CA,06001,Alameda,True,True,True
06,California,CA,06003,Alpine,True,True,True
06,California,CA,06005,Amador,True,True,True
06,California,CA,06007,Butte,True,True,True
06,California,CA,06009,Calaveras,True,True,True
06,California,CA,06011,Colusa,True,True,True
06,California,CA,06013,Contra Costa,True,True,True
06,California,CA,06015,Del Norte,True,True,True
06,California,CA,06017,El Dorado,True,True,True
06,California,CA,06019,Fresno,True,True,True
06,California,CA,06021,Glenn,True,True,True
06,California,CA,06023,Humboldt,True,True,True
06,California,CA,06025,Imperial,True,True,True
06,California,CA,06027,Inyo,True,True,True
06,California,CA,06029,Kern,True,True,True
06,California,CA,06031,Kings,True,True,True
06,California,CA,06033,Lake,True,True,True
06,California,CA,06035,Lassen,True,True,True
06,California,CA,06037,Los Angeles,True,True,True
06,California,CA,06039,Madera,True,True,True
06,California,CA,06041,Marin,True,True,True
06,California,CA,06043,Mariposa,True,True,True
06,California,CA,06045,Mendocino,True,True,True
06,California,CA,06047,Merced,True,True,True
06,California,CA,06049,Modoc,True,True,True
06,California,CA,06051,Mono,True,True,True
06,California,CA,06053,Monterey,True,True,True
06,California,CA,06055,Napa,True,True,True
06,California,CA,06057,Nevada,True,True,True
06,California,CA,06059,Orange,True,True,True
06,California,CA,06061,Placer,True,True,True
06,California,CA,06063,Plumas,True,True,True
06,California,CA,06065,Riverside,True,True,True
06,California,CA,06067,Sacramento,True,True,True
06,California,CA,06069,San Benito,True,True,True
06,California,CA,06071,San Bernardino,True,True,True
06,California,CA,06073,San Diego,True,True,True
06,California,CA,06075,San Francisco,True,True,True
06,California,CA,06077,San Joaquin,True,True,True
06,California,CA,06079,San Luis Obispo,True,True,True
06,California,CA,06081,San Mateo,True,True,True
06,California,CA,06083,Santa Barbara,True,True,True
06,California,CA,06085,Santa Clara,True,True,True
06,California,CA,06087,Santa Cruz,True,True,True
06,California,CA,06089,Shasta,True,True,True
06,California,CA,06091,Sierra,True,True,True
06,California,CA,06093,Siskiyou,True,True,True
06,California,CA,06095,Solano,True,True,True
06,California,CA,06097,Sonoma,True,True,True
06,California,CA,06099,Stanislaus,True,True,True
06,California,CA,06101,Sutter,True,True,True
06,California,CA,06103,Tehama,True,True,True
06,California,CA,06105,Trinity,True,True,True
06,California,CA,06107,Tulare,True,True,True
06,California,CA,06109,Tuolumne,True,True,True
06,California,CA,06111,Ventura,True,True,True
06,California,CA,06113,Yolo,True,True,True
