GEOID,STATEFP,COUNTYFP,fred_county_fips,NAME,NAMELSAD,region,region_type,region_type_id,table_id,state,state_code,parent_metro_region,parent_metro_region_metro_code,fred_child_id,fred_region_id,fred_state_id,ALAND,AWATER,INTPTLAT,INTPTLON,data_source,state_fips
06001,06,001,06001,Alameda,Alameda County,"Alameda County, CA",county,5.0,303.0,California,CA,"Oakland, CA",36084.0,27522.0,27521.0,27286.0,1910010500.0,216909647.0,37.6471385,-121.912488,Complete data,06
06003,06,003,06003,Alpine,Alpine County,"Alpine County, CA",county,5.0,304.0,California,CA,California nonmetropolitan area,,27523.0,27521.0,27286.0,1912292607.0,12557304.0,38.6217831,-119.7983522,Complete data,06
06005,06,005,06005,Amador,Amador County,"Amador County, CA",county,5.0,305.0,California,CA,California nonmetropolitan area,,27524.0,27521.0,27286.0,1539967082.0,29437117.0,38.4435493,-120.653858,Complete data,06
06007,06,007,06007,Butte,Butte County,"Butte County, CA",county,5.0,306.0,California,CA,"Chico, CA",17020.0,27525.0,27521.0,27286.0,4238545149.0,105204062.0,39.6653362,-121.6032086,Complete data,06
06009,06,009,06009,Calaveras,Calaveras County,"Calaveras County, CA",county,5.0,307.0,California,CA,California nonmetropolitan area,,27526.0,27521.0,27286.0,2641829625.0,43797225.0,38.1910682,-120.5541065,Complete data,06
06011,06,011,06011,Colusa,Colusa County,"Colusa County, CA",county,5.0,308.0,California,CA,California nonmetropolitan area,,27527.0,27521.0,27286.0,2980245451.0,14696164.0,39.1777385,-122.2375629,Complete data,06
06013,06,013,06013,Contra Costa,Contra Costa County,"Contra Costa County, CA",county,5.0,309.0,California,CA,"Oakland, CA",36084.0,27528.0,27521.0,27286.0,1856755871.0,225361409.0,37.919479,-121.9515431,Complete data,06
06015,06,015,06015,Del Norte,Del Norte County,"Del Norte County, CA",county,5.0,310.0,California,CA,"Crescent City, CA",18860.0,27529.0,27521.0,27286.0,2606049835.0,578810831.0,41.7499033,-123.9809983,Complete data,06
06017,06,017,06017,El Dorado,El Dorado County,"El Dorado County, CA",county,5.0,311.0,California,CA,"Sacramento, CA",40900.0,27530.0,27521.0,27286.0,4423288023.0,203364019.0,38.7856116,-120.5342245,Complete data,06
06019,06,019,06019,Fresno,Fresno County,"Fresno County, CA",county,5.0,312.0,California,CA,"Fresno, CA",23420.0,27531.0,27521.0,27286.0,15432656110.0,136636505.0,36.7610058,-119.6550193,Complete data,06
