ZIPCODE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,STATE,STATE_NAME,STATE_FIPS,source_file,state_zip_key_x,region_type,region_type_id,redfin_tableid_zip,zip_code,state,state_code,parent_metro_region,parent_metro_region_metro_code,state_county_code,redfin_county_name,redfin_table_id_county,redfin_region_type,census_city_long,census_city,state_zip_combined,redfin_table_id_city,redfin_city,Unnamed: 17,Unnamed: 18,state_zip_key_y,data_source,has_census_data,has_redfin_data,has_geometry
90001,90001,8495419.0,0.0,+33.9736648,-118.2490388,CA,California,06,21347.0,CA_90001,zip code,2.0,37448.0,90001,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790001.0,11203.0,"Los Angeles, CA",,,CA_90001,Complete data,True,True,True
90002,90002,7750658.0,0.0,+33.9489868,-118.2467796,CA,California,06,21348.0,CA_90002,zip code,2.0,37449.0,90002,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790002.0,11203.0,"Los Angeles, CA",,,CA_90002,Complete data,True,True,True
90003,90003,9389890.0,0.0,+33.9640773,-118.2736836,CA,California,06,21652.0,CA_90003,zip code,2.0,37450.0,90003,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790003.0,11203.0,"Los Angeles, CA",,,CA_90003,Complete data,True,True,True
90004,90004,7901466.0,0.0,+34.0762187,-118.3109634,CA,California,06,22855.0,CA_90004,zip code,2.0,37451.0,90004,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790004.0,11203.0,"Los Angeles, CA",,,CA_90004,Complete data,True,True,True
90005,90005,3055752.0,0.0,+34.0593736,-118.3089617,CA,California,06,22690.0,CA_90005,zip code,2.0,37452.0,90005,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790005.0,11203.0,"Los Angeles, CA",,,CA_90005,Complete data,True,True,True
90006,90006,5008238.0,0.0,+34.0480942,-118.2940452,CA,California,06,22850.0,CA_90006,zip code,2.0,37453.0,90006,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790006.0,11203.0,"Los Angeles, CA",,,CA_90006,Complete data,True,True,True
90007,90007,6294012.0,0.0,+34.0281645,-118.2848289,CA,California,06,22064.0,CA_90007,zip code,2.0,37454.0,90007,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790007.0,11203.0,"Los Angeles, CA",,,CA_90007,Complete data,True,True,True
90008,90008,7493792.0,68544.0,+34.0107237,-118.3428833,CA,California,06,21983.0,CA_90008,zip code,2.0,37455.0,90008,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790008.0,11203.0,"Los Angeles, CA",,,CA_90008,Complete data,True,True,True
90010,90010,1011326.0,0.0,+34.0609873,-118.2998843,CA,California,06,21352.0,CA_90010,zip code,2.0,37457.0,90010,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790010.0,11203.0,"Los Angeles, CA",,,CA_90010,Complete data,True,True,True
90011,90011,11108402.0,515.0,+34.0070900,-118.2586805,CA,California,06,22849.0,CA_90011,zip code,2.0,37458.0,90011,California,CA,"Los Angeles, CA",31084.0,6037.0,"Los Angeles County, CA",321.0,county,"LOS ANGELES, CA",LOS ANGELES,603790011.0,11203.0,"Los Angeles, CA",,,CA_90011,Complete data,True,True,True
