ZIPCODE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,STATE,STATE_NAME,STATE_FIPS,source_file,state_zip_key_x,region_type,region_type_id,redfin_tableid_zip,zip_code,state,state_code,parent_metro_region,parent_metro_region_metro_code,state_county_code,redfin_county_name,redfin_table_id_county,redfin_region_type,census_city_long,census_city,state_zip_combined,redfin_table_id_city,redfin_city,Unnamed: 17,Unnamed: 18,state_zip_key_y,data_source,has_census_data,has_redfin_data,has_geometry
30002,30002,4396684.0,35621.0,+33.7733346,-084.2616669,GA,Georgia,13,28838.0,GA_30002,zip code,2.0,12372.0,30002,Georgia,GA,"Atlanta, GA",12060.0,13089.0,"DeKalb County, GA",547.0,county,"AVONDALE ESTATES, GA",AVONDALE ESTATES,1308930002.0,1230.0,"Avondale Estates, GA",,,GA_30002,Complete data,True,True,True
30004,30004,150188235.0,1828891.0,+34.1456348,-084.2918814,GA,Georgia,13,28825.0,GA_30004,zip code,2.0,12374.0,30004,Georgia,GA,"Atlanta, GA",12060.0,13121.0,"Fulton County, GA",563.0,county,"ALPHARETTA, GA",ALPHARETTA,1312130004.0,438.0,"Alpharetta, GA",,,GA_30004,Complete data,True,True,True
30005,30005,40898015.0,897460.0,+34.0890498,-084.2170187,GA,Georgia,13,29117.0,GA_30005,zip code,2.0,12375.0,30005,Georgia,GA,"Atlanta, GA",12060.0,13121.0,"Fulton County, GA",563.0,county,"ALPHARETTA, GA",ALPHARETTA,1312130005.0,438.0,"Alpharetta, GA",,,GA_30005,Complete data,True,True,True
30008,30008,24713434.0,27393.0,+33.9005668,-084.5909235,GA,Georgia,13,28801.0,GA_30008,zip code,2.0,12378.0,30008,Georgia,GA,"Atlanta, GA",12060.0,13067.0,"Cobb County, GA",536.0,county,"MARIETTA, GA",MARIETTA,1306730008.0,12766.0,"Marietta, GA",,,GA_30008,Complete data,True,True,True
30009,30009,23587405.0,200005.0,+34.0781363,-084.3034243,GA,Georgia,13,29233.0,GA_30009,zip code,2.0,12379.0,30009,Georgia,GA,"Atlanta, GA",12060.0,13121.0,"Fulton County, GA",563.0,county,"ALPHARETTA, GA",ALPHARETTA,1312130009.0,438.0,"Alpharetta, GA",,,GA_30009,Complete data,True,True,True
30011,30011,69567925.0,498813.0,+34.0198589,-083.8371629,GA,Georgia,13,29256.0,GA_30011,zip code,2.0,12381.0,30011,Georgia,GA,"Atlanta, GA",12060.0,13013.0,"Barrow County, GA",510.0,county,"AUBURN, GA",AUBURN,1301330011.0,30770.0,"Auburn, GA",,,GA_30011,Complete data,True,True,True
30012,30012,109920722.0,2627646.0,+33.7178061,-084.0025146,GA,Georgia,13,28933.0,GA_30012,zip code,2.0,12382.0,30012,Georgia,GA,"Atlanta, GA",12060.0,13247.0,"Rockdale County, GA",625.0,county,"CONYERS, GA",CONYERS,1324730012.0,4983.0,"Conyers, GA",,,GA_30012,Complete data,True,True,True
30013,30013,73440035.0,1048385.0,+33.6426025,-083.9718529,GA,Georgia,13,29253.0,GA_30013,zip code,2.0,12383.0,30013,Georgia,GA,"Atlanta, GA",12060.0,13247.0,"Rockdale County, GA",625.0,county,"CONYERS, GA",CONYERS,1324730013.0,4983.0,"Conyers, GA",,,GA_30013,Complete data,True,True,True
30014,30014,312506047.0,9497420.0,+33.5871934,-083.8221732,GA,Georgia,13,28746.0,GA_30014,zip code,2.0,12384.0,30014,Georgia,GA,"Atlanta, GA",12060.0,13217.0,"Newton County, GA",610.0,county,"COVINGTON, GA",COVINGTON,1321730014.0,5173.0,"Covington, GA",,,GA_30014,Complete data,True,True,True
30016,30016,235232598.0,2628916.0,+33.5174331,-083.9287028,GA,Georgia,13,28875.0,GA_30016,zip code,2.0,12386.0,30016,Georgia,GA,"Atlanta, GA",12060.0,13217.0,"Newton County, GA",610.0,county,"COVINGTON, GA",COVINGTON,1321730016.0,5173.0,"Covington, GA",,,GA_30016,Complete data,True,True,True
