GEOID,STATEFP,COUNTYFP,fred_county_fips,NAME,NAMELSAD,region,region_type,region_type_id,table_id,state,state_code,parent_metro_region,parent_metro_region_metro_code,fred_child_id,fred_region_id,fred_state_id,ALAND,AWATER,INTPTLAT,INTPTLON,data_source,state_fips
25001,25,001,25001,Barnstable,Barnstable County,"Barnstable County, MA",county,5.0,1334.0,Massachusetts,MA,"Barnstable Town, MA",12700.0,28569.0,28568.0,27303.0,1020973583.0,2360362409.0,41.7061233,-70.1648227,Complete data,25
25003,25,003,25003,Berkshire,Berkshire County,"Berkshire County, MA",county,5.0,1335.0,Massachusetts,MA,"Pittsfield, MA",38340.0,28570.0,28568.0,27303.0,2400592147.0,50709767.0,42.371493,-73.2179276,Complete data,25
25005,25,005,25005,Bristol,Bristol County,"Bristol County, MA",county,5.0,1336.0,Massachusetts,MA,"Providence, RI",39300.0,28571.0,28568.0,27303.0,1432555935.0,357450957.0,41.7485884,-71.088894,Complete data,25
25007,25,007,25007,Dukes,Dukes County,"Dukes County, MA",county,5.0,1337.0,Massachusetts,MA,"Vineyard Haven, MA",47240.0,28572.0,28568.0,27303.0,267292993.0,1004291415.0,41.3809696,-70.7014995,Complete data,25
25009,25,009,25009,Essex,Essex County,"Essex County, MA",county,5.0,1338.0,Massachusetts,MA,"Boston, MA",14454.0,28573.0,28568.0,27303.0,1275604956.0,870173087.0,42.6427082,-70.8649085,Complete data,25
25011,25,011,25011,Franklin,Franklin County,"Franklin County, MA",county,5.0,1339.0,Massachusetts,MA,"Springfield, MA",44140.0,28574.0,28568.0,27303.0,1810943461.0,65594687.0,42.5845038,-72.5917921,Complete data,25
25013,25,013,25013,Hampden,Hampden County,"Hampden County, MA",county,5.0,1340.0,Massachusetts,MA,"Springfield, MA",44140.0,28575.0,28568.0,27303.0,1598035447.0,44416565.0,42.1361975,-72.6356476,Complete data,25
25015,25,015,25015,Hampshire,Hampshire County,"Hampshire County, MA",county,5.0,1341.0,Massachusetts,MA,"Springfield, MA",44140.0,28576.0,28568.0,27303.0,1365533874.0,46625894.0,42.3394593,-72.6636936,Complete data,25
25017,25,017,25017,Middlesex,Middlesex County,"Middlesex County, MA",county,5.0,1342.0,Massachusetts,MA,"Boston, MA",14454.0,28577.0,28568.0,27303.0,2118293312.0,75289849.0,42.4817182,-71.3949161,Complete data,25
25019,25,019,25019,Nantucket,Nantucket County,"Nantucket County, MA",county,5.0,1343.0,Massachusetts,MA,Massachusetts nonmetropolitan area,,28578.0,28568.0,27303.0,119637317.0,666826385.0,41.2933918,-70.1021635,Complete data,25
25021,25,021,25021,Norfolk,Norfolk County,"Norfolk County, MA",county,5.0,1344.0,Massachusetts,MA,"Boston, MA",14454.0,28579.0,28568.0,27303.0,1025902103.0,124954020.0,42.1717377,-71.1811102,Complete data,25
25023,25,023,25023,Plymouth,Plymouth County,"Plymouth County, MA",county,5.0,1345.0,Massachusetts,MA,"Boston, MA",14454.0,28580.0,28568.0,27303.0,1705513086.0,1126113558.0,41.9871959,-70.7419417,Complete data,25
25025,25,025,25025,Suffolk,Suffolk County,"Suffolk County, MA",county,5.0,1346.0,Massachusetts,MA,"Boston, MA",14454.0,28581.0,28568.0,27303.0,150885698.0,160491323.0,42.3385513,-71.018253,Complete data,25
25027,25,027,25027,Worcester,Worcester County,"Worcester County, MA",county,5.0,1347.0,Massachusetts,MA,"Worcester, MA",49340.0,28582.0,28568.0,27303.0,3912636723.0,177350055.0,42.3116934,-71.940282,Complete data,25
