ZIPCODE,GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,STATE,STATE_NAME,STATE_FIPS,source_file,state_zip_key_x,region_type,region_type_id,redfin_tableid_zip,zip_code,state,state_code,parent_metro_region,parent_metro_region_metro_code,state_county_code,redfin_county_name,redfin_table_id_county,redfin_region_type,census_city_long,census_city,state_zip_combined,redfin_table_id_city,redfin_city,Unnamed: 17,Unnamed: 18,state_zip_key_y,data_source,has_census_data,has_redfin_data,has_geometry
73960,73960,1570433.0,0.0,+36.4916671,-101.7926135,TX,Texas,48,26740.0,TX_73960,,,,,,,,,,,,,,,,,,,,,Census only,True,False,True
75001,75001,9718688.0,8702.0,+32.9600471,-096.8372399,TX,Texas,48,25201.0,TX_75001,zip code,2.0,32085.0,75001,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"ADDISON, TX",ADDISON,4811375001.0,312.0,"Addison, TX",,,TX_75001,Complete data,True,True,True
75002,75002,97328092.0,6398441.0,+33.0898539,-096.6086003,TX,Texas,48,25802.0,TX_75002,zip code,2.0,32086.0,75002,Texas,TX,"Dallas, TX",19124.0,48085.0,"Collin County, TX",2682.0,county,"ALLEN, TX",ALLEN,4808575002.0,492.0,"Allen, TX",,,TX_75002,Complete data,True,True,True
75006,75006,44217547.0,857847.0,+32.9621408,-096.8985846,TX,Texas,48,26757.0,TX_75006,zip code,2.0,32087.0,75006,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"CARROLLTON, TX",CARROLLTON,4811375006.0,30825.0,"Carrollton, TX",,,TX_75006,Complete data,True,True,True
75007,75007,30837493.0,314310.0,+33.0052617,-096.8967417,TX,Texas,48,26651.0,TX_75007,zip code,2.0,32088.0,75007,Texas,TX,"Dallas, TX",19124.0,48121.0,"Denton County, TX",2700.0,county,"CARROLLTON, TX",CARROLLTON,4812175007.0,30825.0,"Carrollton, TX",,,TX_75007,Complete data,True,True,True
75009,75009,255670558.0,3562550.0,+33.3388989,-096.7529773,TX,Texas,48,26426.0,TX_75009,zip code,2.0,32089.0,75009,Texas,TX,"Dallas, TX",19124.0,48085.0,"Collin County, TX",2682.0,county,"CELINA, TX",CELINA,4808575009.0,30799.0,"Celina, TX",,,TX_75009,Complete data,True,True,True
75010,75010,17646282.0,125517.0,+33.0390806,-096.8725958,TX,Texas,48,26090.0,TX_75010,zip code,2.0,32090.0,75010,Texas,TX,"Dallas, TX",19124.0,48121.0,"Denton County, TX",2700.0,county,"CARROLLTON, TX",CARROLLTON,4812175010.0,30825.0,"Carrollton, TX",,,TX_75010,Complete data,True,True,True
75013,75013,38972326.0,149091.0,+33.1143268,-096.6939636,TX,Texas,48,26435.0,TX_75013,zip code,2.0,32092.0,75013,Texas,TX,"Dallas, TX",19124.0,48085.0,"Collin County, TX",2682.0,county,"ALLEN, TX",ALLEN,4808575013.0,492.0,"Allen, TX",,,TX_75013,Complete data,True,True,True
75019,75019,44512917.0,2605834.0,+32.9612528,-096.9858172,TX,Texas,48,26750.0,TX_75019,zip code,2.0,32097.0,75019,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"COPPELL, TX",COPPELL,4811375019.0,30867.0,"Coppell, TX",,,TX_75019,Complete data,True,True,True
75020,75020,158091732.0,12677490.0,+33.7727224,-096.6069616,TX,Texas,48,25105.0,TX_75020,zip code,2.0,32098.0,75020,Texas,TX,"Sherman, TX",43300.0,48181.0,"Grayson County, TX",2730.0,county,"DENISON, TX",DENISON,4818175020.0,5133.0,"Denison, TX",,,TX_75020,Complete data,True,True,True
75021,75021,151230690.0,157711.0,+33.7279883,-096.4783693,TX,Texas,48,26332.0,TX_75021,zip code,2.0,32099.0,75021,Texas,TX,"Sherman, TX",43300.0,48181.0,"Grayson County, TX",2730.0,county,"DENISON, TX",DENISON,4818175021.0,5133.0,"Denison, TX",,,TX_75021,Complete data,True,True,True
75022,75022,50623783.0,7003184.0,+33.0244841,-097.1195043,TX,Texas,48,25279.0,TX_75022,zip code,2.0,32100.0,75022,Texas,TX,"Dallas, TX",19124.0,48121.0,"Denton County, TX",2700.0,county,"FLOWER MOUND, TX",FLOWER MOUND,4812175022.0,30837.0,"Flower Mound, TX",,,TX_75022,Complete data,True,True,True
75023,75023,23824659.0,15985.0,+33.0567886,-096.7308593,TX,Texas,48,26815.0,TX_75023,zip code,2.0,32101.0,75023,Texas,TX,"Dallas, TX",19124.0,48085.0,"Collin County, TX",2682.0,county,"PLANO, TX",PLANO,4808575023.0,30868.0,"Plano, TX",,,TX_75023,Complete data,True,True,True
75024,75024,33548920.0,299035.0,+33.0778541,-096.8110276,TX,Texas,48,25800.0,TX_75024,zip code,2.0,32102.0,75024,Texas,TX,"Dallas, TX",19124.0,48085.0,"Collin County, TX",2682.0,county,"PLANO, TX",PLANO,4808575024.0,30868.0,"Plano, TX",,,TX_75024,Complete data,True,True,True
75025,75025,24744023.0,130945.0,+33.0900854,-096.7400082,TX,Texas,48,26941.0,TX_75025,zip code,2.0,32103.0,75025,Texas,TX,"Dallas, TX",19124.0,48085.0,"Collin County, TX",2682.0,county,"PLANO, TX",PLANO,4808575025.0,30868.0,"Plano, TX",,,TX_75025,Complete data,True,True,True
75028,75028,40298281.0,197717.0,+33.0329984,-097.0646175,TX,Texas,48,26531.0,TX_75028,zip code,2.0,32106.0,75028,Texas,TX,"Dallas, TX",19124.0,48121.0,"Denton County, TX",2700.0,county,"FLOWER MOUND, TX",FLOWER MOUND,4812175028.0,30837.0,"Flower Mound, TX",,,TX_75028,Complete data,True,True,True
75032,75032,124645232.0,21279296.0,+32.8571121,-096.4312104,TX,Texas,48,26947.0,TX_75032,zip code,2.0,32109.0,75032,Texas,TX,"Dallas, TX",19124.0,48397.0,"Rockwall County, TX",2838.0,county,"ROCKWALL, TX",ROCKWALL,4839775032.0,16125.0,"Rockwall, TX",,,TX_75032,Complete data,True,True,True
75033,75033,56810867.0,500559.0,+33.1848182,-096.8443078,TX,Texas,48,26425.0,TX_75033,zip code,2.0,41989.0,75033,Texas,TX,"Dallas, TX",19124.0,48121.0,"Denton County, TX",2700.0,county,"FRISCO, TX",FRISCO,4812175033.0,30844.0,"Frisco, TX",,,TX_75033,Complete data,True,True,True
75034,75034,41294400.0,483852.0,+33.1212863,-096.8385360,TX,Texas,48,26937.0,TX_75034,zip code,2.0,32110.0,75034,Texas,TX,"Dallas, TX",19124.0,48085.0,"Collin County, TX",2682.0,county,"FRISCO, TX",FRISCO,4808575034.0,30844.0,"Frisco, TX",,,TX_75034,Complete data,True,True,True
75035,75035,64496319.0,224082.0,+33.1663062,-096.7756353,TX,Texas,48,26421.0,TX_75035,zip code,2.0,32111.0,75035,Texas,TX,"Dallas, TX",19124.0,48085.0,"Collin County, TX",2682.0,county,"FRISCO, TX",FRISCO,4808575035.0,30844.0,"Frisco, TX",,,TX_75035,Complete data,True,True,True
75036,75036,28071673.0,8750232.0,+33.1333512,-096.9146625,TX,Texas,48,25137.0,TX_75036,zip code,2.0,42009.0,75036,Texas,TX,"Dallas, TX",19124.0,48121.0,"Denton County, TX",2700.0,county,"FRISCO, TX",FRISCO,4812175036.0,30844.0,"Frisco, TX",,,TX_75036,Complete data,True,True,True
75038,75038,19782729.0,104199.0,+32.8722599,-096.9788098,TX,Texas,48,25199.0,TX_75038,zip code,2.0,32113.0,75038,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"IRVING, TX",IRVING,4811375038.0,9410.0,"Irving, TX",,,TX_75038,Complete data,True,True,True
75039,75039,14721182.0,947646.0,+32.8849585,-096.9372970,TX,Texas,48,26553.0,TX_75039,zip code,2.0,32114.0,75039,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"IRVING, TX",IRVING,4811375039.0,9410.0,"Irving, TX",,,TX_75039,Complete data,True,True,True
75040,75040,40644917.0,17014.0,+32.9289020,-096.6197821,TX,Texas,48,26103.0,TX_75040,zip code,2.0,32115.0,75040,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"GARLAND, TX",GARLAND,4811375040.0,30821.0,"Garland, TX",,,TX_75040,Complete data,True,True,True
75041,75041,20523049.0,4329.0,+32.8801959,-096.6515550,TX,Texas,48,26104.0,TX_75041,zip code,2.0,32116.0,75041,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"GARLAND, TX",GARLAND,4811375041.0,30821.0,"Garland, TX",,,TX_75041,Complete data,True,True,True
75042,75042,19767426.0,2357.0,+32.9144945,-096.6749946,TX,Texas,48,26653.0,TX_75042,zip code,2.0,32117.0,75042,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"GARLAND, TX",GARLAND,4811375042.0,30821.0,"Garland, TX",,,TX_75042,Complete data,True,True,True
75043,75043,37690881.0,13706304.0,+32.8557718,-096.5782141,TX,Texas,48,25202.0,TX_75043,zip code,2.0,32118.0,75043,Texas,TX,"Dallas, TX",19124.0,48113.0,"Dallas County, TX",2696.0,county,"GARLAND, TX",GARLAND,4811375043.0,30821.0,"Garland, TX",,,TX_75043,Complete data,True,True,True
